Modelo,PotenciaSalidaAC,Imax_CA,MaxVoltajeEntradaDC,MPPT_Min,MPPT_Max,Vff,Costo
S5-GC15K-LV,15000,43.3,1100,200,1000,220,25000
S5-GC20K-LV,20000,57.7,1100,200,1000,220,25000
S5-GC23K-LV,23000,65.0,1100,200,1000,220,25000
S5-GC25K-LV,25000,72.2,1100,180,1000,220,25000
S5-GC30K-LV,30000,86.6,1100,180,1000,220,25000
S5-GC36K-LV,36000,104.0,1100,180,1000,220,25000
S5-GC50K-LV,50000,144.3,1100,180,1000,220,25000
S5-GC60K-LV,60000,173.2,1100,180,1000,220,25000
Solis-50K-LV-5G,50000,144.3,1100,180,1000,220,25000
Solis-60K-LV-5G,60000,173.2,1100,180,1000,220,25000
Solis-124K-HV-5G,124000,149.2,1000,180,1000,480,25000
Solis-125K-HV-5G,125000,150.4,1000,180,1000,480,25000
S5-GC124K-HV,124000,149.2,1000,180,1000,480,25000
S5-GC125K-HV,125000,150.4,1000,180,1000,480,25000
S5-GC60K-HV,60000,79.4,1000,180,1000,480,25000
S5-GC70K-HV,70000,92.6,1000,180,1000,480,25000
S6-GC30K-LV-US,30000,83.3,1000,180,1000,208,25000
S5-GC60K-LV-US,60000,166.5,1000,180,1000,208,25000
S5-GC75K-US,75000,90.2,1000,180,1000,480,25000
S5-GC80K-US,80000,96.2,1000,180,1000,480,25000
S5-GC90K-US,90000,108.3,1000,180,1000,480,25000
S5-GC100K-US,100000,120.3,1000,180,1000,480,25000
Solis-25K-US,25000,30.1,1000,200,800,480,25000
Solis-30K-US,30000,36.1,1000,200,800,480,25000
Solis-36K-US,36000,43.3,1000,200,800,480,25000
Solis-40K-US,40000,48.1,1000,200,800,480,25000
S5-GR3P5K-HV,5000,6.6,1000,160,1000,480,25000
S5-GR3P6K-HV,6000,7.9,1000,160,1000,480,25000
S5-GR3P8K-HV,8000,10.6,1000,160,1000,480,25000
S5-GR3P9K-HV,9000,11.9,1000,160,1000,480,25000
S5-GR3P10K-HV,10000,13.2,1000,160,1000,480,25000
S5-GR3P12K-HV,12000,15.8,1000,160,1000,480,25000
S5-GR3P15K-HV,15000,19.8,1000,160,1000,480,25000
S5-GR3P17K-HV,17000,22.4,1000,160,1000,480,25000
S5-GR3P20K-HV,20000,26.4,1000,160,1000,480,25000
MAX-50KTL3-XL2,50000,144.3,1100,180,800,220,25000
MAX-60KTL3-XL2,60000,173.2,1100,180,800,220,25000
MAX-70KTL3-XL2,70000,183.7,1100,180,800,220,25000
MAX-75KTL3-XL2,75000,196.9,1100,180,800,220,25000
SUN2000-80K-MGL0,80000,231.0,750,160,750,220,25000
SNA5000WPV,5000,22.0,480,120,385,230,25000
SNA6000WPV,6000,26.5,480,120,385,230,25000
S5-GC50K,50000,83.6,1100,180,1000,380,25000
S5-GC60K,60000,100.3,1100,180,1000,380,25000